Gender,Height,Weight
Male,187.6,109.7
Male,174.7,73.6
Male,188.2,96.5
Male,182.2,99.8
Male,177.5,93.6
Male,170.8,69
Male,174.7,83.4
Male,173.6,76.2
Male,170.2,79.8
Male,161.2,70.9
Male,180.8,84.6
Male,182,97
Male,164.5,75.8
Male,176,85.9
Male,175.9,84.6
Male,171.8,78.1
Male,183.9,88.9
Male,162.5,78.4
Male,176.9,84.4
Male,172.6,82.7
Male,172.5,79
Male,176.4,89.7
Male,168,67.7
Male,191,103.8
Male,172.4,73.5
Male,173.1,87.2
Male,175.5,83.7
Male,184.9,93.8
Male,171.2,79.5
Male,174,70
Male,174.3,85.1
Male,188,96.6
Male,181.7,88.5
Male,175.7,93.1
Male,176.7,92.6
Male,178.8,87.5
Male,175.5,89.6
Male,170.7,83.4
Male,167.2,74.3
Male,163.3,74
Male,172.7,78.1
Male,183.4,88
Male,165.8,76.5
Male,167.9,73.1
Male,171.5,74.7
Male,178.1,85.7
Male,173.4,84.8
Male,183.3,94.8
Male,175.7,87.1
Male,185.1,95.9
Male,164.5,75.1
Male,178.3,91.2
Male,174,78.7
Male,171,82.3
Male,170.2,77
Male,168.9,74.1
Male,173.6,86.1
Male,179.8,87.1
Male,180.9,89.9
Male,177.8,95
Male,181.4,90.2
Male,176.7,89.8
Male,187.5,88.6
Male,170.2,74.8
Male,181.4,81.6
Male,165.8,70.4
Male,173.4,83.7
Male,184.8,100.1
Male,173,83.1
Male,175,89.1
Male,176,83.7
Male,179.1,94.1
Male,176.9,80.4
Male,171.7,74
Male,184.2,98.1
Male,181,92.8
Male,182.4,91.1
Male,183.5,100.2
Male,168.9,89.1
Male,167.7,76.5
Male,171.6,82.3
Male,173.3,90.1
Male,187.5,107.9
Male,177.3,78.5
Male,167.5,72.9
Male,180.5,85.5
Male,169.2,94.5
Male,175.1,87.7
Male,173.3,79
Male,183.7,89.5
Male,182.4,91.5
Male,165.7,82.1
Male,179.4,82.6
Male,164.4,80.5
Male,170.4,74.8
Male,165.4,75.2
Male,182.1,87.6
Male,169.8,82
Male,168.8,78.4
Male,176.3,80.5
Male,177.9,91.1
Male,169.5,76.1
Male,168.3,70
Male,173.6,80.7
Male,178,83.4
Male,174.6,81.3
Male,171.6,71.9
Male,168.3,75.5
Male,175.7,78
Male,171.7,79.1
Male,176,85.2
Male,173.2,91.4
Male,181.9,93
Male,175.8,81.1
Male,170.8,74.4
Male,187.2,101.3
Male,176.6,92.1
Male,173.5,85.9
Male,172.1,80.8
Male,182.1,101.3
Male,161.6,75.8
Male,174.6,81.9
Male,170.1,74.6
Male,159.3,68
Male,183.5,87.5
Male,180.1,91.6
Male,171.7,81.6
Male,179.8,89.1
Male,176,85.1
Male,168.3,77.9
Male,171.4,87
Male,167.1,75.2
Male,181.5,84.2
Male,173.9,80.9
Male,162.5,68.5
Male,180.3,95.2
Male,173.1,79
Male,173.7,81.6
Male,173,76.1
Male,173.1,83
Male,174.9,76.9
Male,168,78.7
Male,168.2,82.1
Male,171.3,83.2
Male,176.5,93.4
Male,179.1,83.4
Male,181.2,91.6
Male,180.3,98
Male,168.2,72.3
Male,184.3,95.4
Male,171.4,81
Male,166,66.6
Male,179.9,88.9
Male,177.6,77.2
Male,164.4,77
Male,176,90
Male,174.8,81.6
Male,157.3,66.8
